PRODUCT_CODE,PRODUCT_NAME,PRODUCT_CONC_NAME
2002,Individual Savings FCY,IndSavFX
2001,Individual Savings LCY,IndSav
3001,Individual Current LCY,IndSavFX
3002,Individual Current AccountFCY,INVCAFX
5001,Government InstituitionsLCY,GOV
4902,SME SPECIAL FCY,PBCFX
5002,Government InstituitionsFCY,GOV FX
5102,FarmersFCY,FAR FX
5202,Senior CitizenFCY,SNRCITFX
5302,ChurchesFCY,CHUR FX
5402,Loan Liquidation Suspense,MNO FX
5502,StudentsFCY,STUD FX
5602,International OrganisationsFCY,INTORGFX
5702,High Value ind Savings account FCY,High Value iFCY
5802,Suspense accountsFCY,SUSACFX
5902,Nostro FCA (Offshore Loans),NFOL
6002,Nostro FCA (Investments),NFINV
6102,Nostro FCA (Income),NFINC
6202,Domestic FCA,DOMFCA
6302,Non-Resident Nostro FCA,NRNFC
6402,Bank Nostro FCA,BNKN
6502,Nostro FCA Transitory,NOSTRAN
2101,Corporate SavingsLCY,CorpSav
2201,NMBJunior SaveLCY,JnrSav
2301,SME SavingsLCY,SME Sav
2401,Islamic Personal AccountLCY,ISLPA
2501,Islamic Corporate AccountLCY,ISLCOR
2601,Chinese Corp LCY,Chinese Cor LCY
2701,High Value ind Current account LCY,High Value LCY
2801,High Value merchants FCY,High Value  FCY
2901,Interbranch LCY,INDNRES
3101,NMBLITELCY,NMBL
3201,Staff Current AccountLCY,STACA
3301,Civil ServiceLCY,CIVS
3401,Bad Debts recovered Suspense LCY,CLASS
3501,ZIG GOLD Corporate,GOLD
3601,Young ProfessionalsLCY,YPRO
3701,ExcellenceLCY,EXCEL
3801,EmbassiesLCY,EmbassiesLCY
3901,Corporates  Card Sub Acc LCY,CORPSUB
4001,Financial InstitutionsLCY,FINI
4101,SME liteLCY,SMEL
4201,SME AUTH OD LCY,SMEL
4301,MFILCY,MFI
4401,Corporate OD LCY,CORPBB
4501,Corporate CBLCY,CORPCB
4601,SchoolsLCY,SCHL
8202,Mobile Banking Suspense FCY,MOBSUS
8302,Leasing Collection Suspense FCY,Lease
8402,XPlug Suspense FCY,XPLUS
4701,NGOsLCY,NGOsLCY
4801,TrustsLCY,TRUSTS
4901,SME SPECIAL LCY,PBC
5101,FarmersLCY,FAR
5201,Senior CitizenLCY,SNRCIT
5301,ChurchesLCY,CHUR
5401,Loans Liquidation Suspense,MNO
5501,StudentsLCY,STUD
5601,International OrganisationsLCY,INTORG
5701,High Value ind Savings account LCY,High Value LCY
5801,Suspense accountsLCY1,SUSAC
2102,Corporate SavingsFCY,CorpSavFX
2202,NMBJunior SaveFCY,JnrSavFX
2302,SME SavingsFCY,SME Sav FX
2402,Islamic Personal AccountFCY,ISLPAFX
2502,Islamic Corporate AccountFCY,ISLCORFX
2602,Chinese Corp FCY,Chinese CorpFCY
2702,High Value ind Current account FCY,High Value FCY
2802,High Value merchants FCY,High Value  FCY
3102,NMBLITEFCY,NMBL FX
3202,Staff Current AccountFCY,STACAFX
3302,Civil ServiceFCY,CIVSFX
3402,Bad Debts Recovered Suspense FCY,CLASS FX
3502,ZIG GOLD Individual,GOLD FX
3602,Young ProfessionalsFCY,YPROFX
3702,ExcellenceFCY,EXCEL FX
3802,EmbassiesFCY,EmbassiesFCY
3902,Corporates Card Sub Acc FCY,Sub Acc
4002,Financial InstitutionsFCY,FINIFX
2902,Interbranch FCA,INDNRESF
4102,SME lite FCY,SMELFX
4202,SME AUTH OD FCY,SME FX
4302,MFI FCY,MFI FX
4402,Corporate OD FCY,CORPBBFX
4502,Corporate CB FCY,CORPCB FX
4602,Schools FCY,SCHLFX
4702,NGOs FCY,NGOs FCY
4802,Trusts FCY,TRUSTS FX
2107,RBZ ZERO PERCENT DEALS,ZWLTDI
2108,Agrobill ZIG Treasury 0 Percent Tax,ZWLTDC
9999,Internal Suspense Account,ISA
7202,Individual PEPs FCY,Individual P
7302,Corporate PEPs FCY,Cop PEP FCY
7201,Individual PEPs LCY,Ind PEP LCY
7301,Corporate PEPs LCY,Cop PEP LCY
8001,Pledged Investments ZIG - 90 Days,ZWLTDI
8031,Fixed Term Deposits ZIG-Treasury -90 Days,ZWLTDI
8061,Fixed Term Deposits ZIG-Retail - 90 Days,ZWLTDI
8101,Agrobill ZIG Treasury Below 90 Days,ZWLTDI
8011,Pledged Investments ZIG - Above 90 Days,ZWLTDI
8041,Fixed Term Deposits ZIG-Treasury - Above 90 Days,ZWLTDI
8071,Fixed Term Deposits ZIG-Retail - Above 90 Days,ZWLTDI
8111,Agrobill ZIG treasury Above 89 Days,ZWLTDI
8021,Pledged Investments ZIG,ZWLTDI
8051,Fixed Term Deposits ZIG-Treasury,ZWLTDI
8091,Fixed Term Deposits ZIG-Retail,ZWLTDI
8121,Interbank Borrowing ZIG-Treasury,ZWLTDI
8002,Pledged Investments USD - 90 Days,ZWLTDI
8032,Fixed Term Deposits USD-Treasury - 90 Days,ZWLTDI
8062,Agro bill USD Treasury above 89 days,ZWLTDI
8102,Agro Bll USD Treasury 0 Percent Tax,ZWLTDI
8132,Interbank Borrowing USD-Treasury -90 Days,ZWLTDI
8012,Pledged Investments USD - Above 90 Days,ZWLTDI
8042,Fixed Term Deposits USD-Treasury - Above 90 Days,ZWLTDI
8072,Agro Bill USD treasury Below 90 Days,ZWLTDI
8112,Offshore Borrowing USD-Treasury - Above 90 Days,ZWLTDI
8142,Interbank Borrowing USD-Treasury - Above 90 Days,ZWLTDI
8022,Pledged Investments USD,ZWLTDI
8052,Fixed Term Deposits USD-Treasury,ZWLTDI
8092,Offshore Deposits Lines Of Credit USD,ZWLTDI
8122,Offshore Borrowing USD-Treasury,ZWLTDI
8152,Interbank Borrowing USD-Treasury,ZWLTDI
8162,Fixed Term Deposits USD-Retail - 90 Days,ZWLTDI
8172,Fixed Term Deposits USD-Retail - Above 90 Days,ZWLTDI
8182,Fixed Term Deposits USD-Retail,ZWLTDI
2103,Incoming Offshore credit lines,USDTDI
2133,USD Time Deposit Corporate,USDTDI
6001,Retail non-performing loanLCY,Retail non-p
6601,CORPORATE BUSINESS BANKING LCY,CORP
6602,CORPORATE BUSINESS B FCY,CORPB
